"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"0142-2782","CIÊNCIAS BIOLÓGICAS II                            ","Biopharmaceutics & Drug Disposition","B3",2008
"0301-4622","CIÊNCIAS BIOLÓGICAS II                            ","Biophysical Chemistry (Print)","B2",2008
"0006-3495","CIÊNCIAS BIOLÓGICAS II                            ","Biophysical Journal (Print)","A2",2008
"1793-0480","CIÊNCIAS BIOLÓGICAS II                            ","Biophysical Reviews and Letters","C ",2008
"0006-3525","CIÊNCIAS BIOLÓGICAS II                            ","Biopolymers (New York. Print)","B1",2008
"1615-7591","CIÊNCIAS BIOLÓGICAS II                            ","Bioprocess and Biosystems Engineering (Print)","B3",2008
"0960-8524","CIÊNCIAS BIOLÓGICAS II                            ","Bioresource Technology","B1",2008
"0006-355X","CIÊNCIAS BIOLÓGICAS II                            ","Biorheology (Oxford)","B2",2008
"1516-3725","CIÊNCIAS BIOLÓGICAS II                            ","Bioscience Journal (UFU. Impresso)","C ",2008
"0144-8463","CIÊNCIAS BIOLÓGICAS II                            ","Bioscience Reports","B1",2008
"0734-9750","CIÊNCIAS BIOLÓGICAS II                            ","Biotechnology Advances","A1",2008
"0885-4513","CIÊNCIAS BIOLÓGICAS II                            ","Biotechnology and Applied Biochemistry","B3",2008
"0006-3592","CIÊNCIAS BIOLÓGICAS II                            ","Biotechnology and Bioengineering (Print)","B1",2008
"0141-5492","CIÊNCIAS BIOLÓGICAS II                            ","Biotechnology Letters","B3",2008
"8756-7938","CIÊNCIAS BIOLÓGICAS II                            ","Biotechnology Progress (Print)","B2",2008
"1414-4522","CIÊNCIAS BIOLÓGICAS II                            ","Biotecnologia Ciência & Desenvolvimento (Impresso)","C ",2008
"1542-0752","CIÊNCIAS BIOLÓGICAS II                            ","Birth Defects Research. Clinical and Molecular Teratology","B2",2008
"1470-0328","CIÊNCIAS BIOLÓGICAS II                            ","BJOG (Oxford. Print)","B1",2008
"1464-4096","CIÊNCIAS BIOLÓGICAS II                            ","BJU International (Print)","B1",2008
"0006-4971","CIÊNCIAS BIOLÓGICAS II                            ","Blood (Philadelphia, PA)","A1",2008
"1528-0020","CIÊNCIAS BIOLÓGICAS II                            ","Blood (Philadelphia. Online)","A1",2008
"1079-9796","CIÊNCIAS BIOLÓGICAS II                            ","Blood Cells, Molecules & Diseases (Print)","B1",2008
"0957-5235","CIÊNCIAS BIOLÓGICAS II                            ","Blood Coagulation & Fibrinolysis","B2",2008
"0253-5068","CIÊNCIAS BIOLÓGICAS II                            ","Blood Purification","B2",2008
"1471-2091","CIÊNCIAS BIOLÓGICAS II                            ","BMC Biochemistry (Online)","C ",2008
"1471-2105","CIÊNCIAS BIOLÓGICAS II                            ","BMC Bioinformatics","A2",2008
"1741-7007","CIÊNCIAS BIOLÓGICAS II                            ","BMC Biology","A1",2008
"1472-6750","CIÊNCIAS BIOLÓGICAS II                            ","BMC Biotechnology (Online)","B1",2008
"1471-2407","CIÊNCIAS BIOLÓGICAS II                            ","BMC Cancer (Online)","B1",2008
"1471-2261","CIÊNCIAS BIOLÓGICAS II                            ","BMC Cardiovascular Disorders (Online)","C ",2008
"1471-2121","CIÊNCIAS BIOLÓGICAS II                            ","BMC Cell Biology (Online)","B1",2008
"1471-213X","CIÊNCIAS BIOLÓGICAS II                            ","BMC Developmental Biology (Online)","A2",2008
"1471-2148","CIÊNCIAS BIOLÓGICAS II                            ","BMC Evolutionary Biology (Online)","A2",2008
"1471-230X","CIÊNCIAS BIOLÓGICAS II                            ","BMC Gastroenterology (Online)","B2",2008
"1471-2156","CIÊNCIAS BIOLÓGICAS II                            ","BMC Genetics (Online)","B2",2008
"1471-2164","CIÊNCIAS BIOLÓGICAS II                            ","BMC Genomics","A2",2008
"1471-2172","CIÊNCIAS BIOLÓGICAS II                            ","BMC Immunology (Online)","B1",2008
"1471-2334","CIÊNCIAS BIOLÓGICAS II                            ","BMC Infectious Diseases (Online)","B2",2008
"1471-2350","CIÊNCIAS BIOLÓGICAS II                            ","BMC Medical Genetics (Online)","B1",2008
"1471-2180","CIÊNCIAS BIOLÓGICAS II                            ","BMC Microbiology (Online)","B1",2008
"1471-2199","CIÊNCIAS BIOLÓGICAS II                            ","BMC Molecular Biology","B1",2008
"1471-2474","CIÊNCIAS BIOLÓGICAS II                            ","BMC Musculoskeletal Disorders (Online)","B3",2008
"1471-2202","CIÊNCIAS BIOLÓGICAS II                            ","BMC Neuroscience (Online)","B1",2008
"1471-2229","CIÊNCIAS BIOLÓGICAS II                            ","BMC Plant Biology (Online)","B2",2008
"1471-2458","CIÊNCIAS BIOLÓGICAS II                            ","BMC Public Health (Online)","B2",2008
"1471-2466","CIÊNCIAS BIOLÓGICAS II                            ","BMC Pulmonary Medicine (Online)","C ",2008
"1472-6807","CIÊNCIAS BIOLÓGICAS II                            ","BMC Structural Biology (Online)","B1",2008
"0269-3879","CIÊNCIAS BIOLÓGICAS II                            ","BMC. Biomedical Chromatography","B2",2008
"0101-9783","CIÊNCIAS BIOLÓGICAS II                            ","Boletim do Centro da Biologia da Reprodução (UFJF)","C ",2008
"1677-0838","CIÊNCIAS BIOLÓGICAS II                            ","Boletim SBEM Bahia","C ",2008
"8756-3282","CIÊNCIAS BIOLÓGICAS II                            ","Bone (New York, N.Y.)","A2",2008
"0268-3369","CIÊNCIAS BIOLÓGICAS II                            ","Bone Marrow Transplantation (Basingstoke)","B1",2008
"0006-8055","CIÊNCIAS BIOLÓGICAS II                            ","Botanica Marina (Print)","B4",2008
"0006-8705","CIÊNCIAS BIOLÓGICAS II                            ","Bragantia (São Paulo, SP. Impresso)","C ",2008
"0387-7604","CIÊNCIAS BIOLÓGICAS II                            ","Brain & Development (Tokyo. 1979)","B2",2008
"0006-8950","CIÊNCIAS BIOLÓGICAS II                            ","Brain (London. Print)","A1",2008
"0278-2626","CIÊNCIAS BIOLÓGICAS II                            ","Brain and Cognition","B1",2008
"1015-6305","CIÊNCIAS BIOLÓGICAS II                            ","Brain Pathology","A2",2008
"0006-8993","CIÊNCIAS BIOLÓGICAS II                            ","Brain Research","B2",2008
"0361-9230","CIÊNCIAS BIOLÓGICAS II                            ","Brain Research Bulletin","B2",2008
"1385-299X","CIÊNCIAS BIOLÓGICAS II                            ","Brain Research Protocols (Cessou em 2005)","B2",2008
"0165-0173","CIÊNCIAS BIOLÓGICAS II                            ","Brain Research Reviews","A1",2008
"0006-8977","CIÊNCIAS BIOLÓGICAS II                            ","Brain, Behavior and Evolution","B2",2008
"0889-1591","CIÊNCIAS BIOLÓGICAS II                            ","Brain, Behavior, and Immunity","A2",2008
"1516-8913","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Archives of Biology and Technology (Impresso)","B5",2008
"0103-6440","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Dental Journal (Impresso)","C ",2008
"1519-6984","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Biology (Impresso)","C ",2008
"0104-6632","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Chemical Engineering (Impresso)","B4",2008
"0104-9275","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Epilepsy and Clinical Neurophysiology (Cessou em 2001. Cont. ISSN 1676-2649 Journal of Epilepsy and Clinical Neurophysiology (Impresso))","C ",2008
"0100-879X","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Medical and Biological Research (Impresso)","A2",2008
"1517-8382","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Microbiology (Impresso)","B5",2008
"1679-8759","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Oceanography (Impresso)","B5",2008
"1677-3225","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Oral Sciences (Online)","C ",2008
"0103-9733","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Physics (Impresso)","B4",2008
"1677-0420","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Plant Physiology (Impresso)","C ",2008
"1983-0246","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Veterinary Pathology","C ",2008
"1413-9596","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Journal of Veterinary Research and Animal Science (Impresso)","C ",2008
"1806-8324","CIÊNCIAS BIOLÓGICAS II                            ","Brazilian Oral Research (Impresso)","C ",2008
"0167-6806","CIÊNCIAS BIOLÓGICAS II                            ","Breast Cancer Research and Treatment","A2",2008
"0306-5251","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Clinical Pharmacology (Print)","B1",2008
"0007-0963","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Dermatology (1951. Print)","A2",2008
"0007-1048","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Haematology (Print)","A2",2008
"0007-1145","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Nutrition","B1",2008
"0007-1161","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Ophthalmology","B1",2008
"0266-4356","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Oral & Maxillofacial Surgery","B4",2008
"0007-1188","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Pharmacology","A2",2008
"0007-1250","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Psychiatry (Print)","A1",2008
"0306-3674","CIÊNCIAS BIOLÓGICAS II                            ","British Journal of Sports Medicine","B1",2008
"0007-1668","CIÊNCIAS BIOLÓGICAS II                            ","British Poultry Science (Print)","B3",2008
"0007-4853","CIÊNCIAS BIOLÓGICAS II                            ","Bulletin of Entomological Research","B2",2008
"0007-4861","CIÊNCIAS BIOLÓGICAS II                            ","Bulletin of Environmental Contamination and Toxicology","B4",2008
"0042-9686","CIÊNCIAS BIOLÓGICAS II                            ","Bulletin of the World Health Organization (Print)","A2",2008
"1518-0395","CIÊNCIAS BIOLÓGICAS II                            ","Cadernos Camilliani","C ",2008
"0102-311X","CIÊNCIAS BIOLÓGICAS II                            ","Cadernos de Saúde Pública (ENSP. Impresso)","C ",2008
"0007-9723","CIÊNCIAS BIOLÓGICAS II                            ","Cahiers de Biologie Marine","B4",2008
"0171-967X","CIÊNCIAS BIOLÓGICAS II                            ","Calcified Tissue International","B1",2008
"0832-610X","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Anaesthesia","B2",2008
"1066-7814","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Applied Physiology (Cessou em 2005. Cont. ISSN 1715-5312 Applied Physiology, Nutrition, and Metabolism)","B3",2008
"0008-4042","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Chemistry (Print)","B3",2008
"1480-3275","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Microbiology (Online)","B3",2008
"0008-4166","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Microbiology (Print)","B3",2008
"0008-4212","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Physiology and Pharmacology (Print)","B3",2008
"0706-7437","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Psychiatry","B1",2008
"0830-9000","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Veterinary Research","B4",2008
"1480-3283","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Zoology (Online)","B2",2008
"0008-4301","CIÊNCIAS BIOLÓGICAS II                            ","Canadian Journal of Zoology (Print)","B2",2008
"0008-543X","CIÊNCIAS BIOLÓGICAS II                            ","Cancer (Print)","A2",2008
"0344-5704","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Chemotherapy and Pharmacology","B1",2008
"1055-9965","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Epidemiology, Biomarkers & Prevention","A2",2008
"0929-1903","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Gene Therapy","A2",2008
"0165-4608","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Genetics and Cytogenetics","B2",2008
"1424-9634","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Immunity","C ",2008
"0735-7907","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Investigation","B2",2008
"0304-3835","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Letters (Print)","A2",2008
"0008-5472","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Research (Chicago, Ill.)","A1",2008
"1347-9032","CIÊNCIAS BIOLÓGICAS II                            ","Cancer Science","A2",2008
"0144-8617","CIÊNCIAS BIOLÓGICAS II                            ","Carbohydrate Polymers","B2",2008
"0008-6215","CIÊNCIAS BIOLÓGICAS II                            ","Carbohydrate Research (Chicago, Ill.. Print)","A1",2008
"1475-2840","CIÊNCIAS BIOLÓGICAS II                            ","Cardiovascular Diabetology (Online)","C ",2008
"0897-5957","CIÊNCIAS BIOLÓGICAS II                            ","Cardiovascular Drug Reviews (Cessou em 2007. Cont. ISSN 1755-5914 Cardiovascular Therapeutics (Print))","B2",2008
"0920-3206","CIÊNCIAS BIOLÓGICAS II                            ","Cardiovascular Drugs and Therapy","B2",2008
"1054-8807","CIÊNCIAS BIOLÓGICAS II                            ","Cardiovascular Pathology","B2",2008
"0008-6363","CIÊNCIAS BIOLÓGICAS II                            ","Cardiovascular Research","A1",2008
"0008-6568","CIÊNCIAS BIOLÓGICAS II                            ","Caries Research","B2",2008
"0008-7114","CIÊNCIAS BIOLÓGICAS II                            ","Caryologia (Firenze)","B5",2008
"1566-7367","CIÊNCIAS BIOLÓGICAS II                            ","Catalysis Communications (Print)","B1",2008
"1432-0878","CIÊNCIAS BIOLÓGICAS II                            ","Cell & Tissue Research (Internet)","B1",2008
"0092-8674","CIÊNCIAS BIOLÓGICAS II                            ","Cell (Cambridge)","A1",2008
"0302-766X","CIÊNCIAS BIOLÓGICAS II                            ","Cell and Tissue Research (Print)","B1",2008
"1085-9195","CIÊNCIAS BIOLÓGICAS II                            ","Cell Biochemistry and Biophysics","B2",2008
"0263-6484","CIÊNCIAS BIOLÓGICAS II                            ","Cell Biochemistry and Function","B2",2008
"0742-2091","CIÊNCIAS BIOLÓGICAS II                            ","Cell Biology and Toxicology","B2",2008
"1065-6995","CIÊNCIAS BIOLÓGICAS II                            ","Cell Biology International (Print)","B2",2008
